iter	Passed	Remaining
532	6160	5397
533	6174	5388
534	6187	5377
535	6202	5369
536	6218	5361
537	6232	5351
538	6243	5340
539	6256	5329
540	6266	5316
541	6276	5304
542	6287	5291
543	6297	5278
544	6307	5265
545	6318	5254
546	6330	5242
547	6342	5231
548	6356	5221
549	6368	5210
550	6377	5197
551	6387	5184
552	6399	5172
553	6409	5159
554	6419	5146
555	6428	5133
556	6441	5123
557	6452	5111
558	6469	5103
559	6479	5090
560	6489	5078
561	6499	5065
562	6510	5053
563	6520	5040
564	6530	5028
565	6540	5015
566	6551	5003
567	6563	4992
568	6576	4981
569	6587	4969
570	6598	4957
571	6608	4945
572	6618	4932
573	6630	4920
574	6639	4907
575	6651	4896
576	6661	4883
577	6670	4870
578	6680	4857
579	6690	4844
580	6702	4833
581	6714	4822
582	6724	4809
583	6734	4797
584	6744	4784
585	6754	4771
586	6764	4759
587	6774	4746
588	6786	4735
589	6796	4722
590	6807	4711
591	6817	4698
592	6827	4686
593	6839	4674
594	6849	4662
595	6860	4650
596	6871	4638
597	6882	4626
598	6892	4613
599	6902	4601
600	6914	4590
601	6925	4578
602	6936	4566
603	6946	4554
604	6956	4541
605	6966	4529
606	6976	4516
607	6986	4504
608	6996	4491
609	7007	4480
610	7017	4467
611	7026	4454
612	7036	4442
613	7045	4429
614	7057	4418
615	7068	4406
616	7077	4393
617	7087	4381
618	7098	4368
619	7108	4356
620	7119	4345
621	7132	4334
622	7144	4323
623	7160	4314
624	7172	4303
625	7185	4292
626	7202	4284
627	7214	4273
628	7226	4262
629	7238	4251
630	7248	4238
631	7261	4228
632	7275	4218
633	7287	4206
634	7299	4195
635	7311	4184
636	7322	4172
637	7338	4163
638	7360	4158
639	7375	4148
640	7386	4136
641	7397	4124
642	7407	4112
643	7420	4101
644	7433	4091
645	7447	4080
646	7457	4068
647	7468	4056
648	7478	4044
649	7489	4032
650	7501	4021
651	7511	4009
652	7521	3997
653	7531	3984
654	7541	3971
655	7551	3959
656	7562	3948
657	7572	3935
658	7583	3924
659	7595	3912
660	7606	3900
661	7616	3888
662	7626	3876
663	7636	3864
664	7646	3852
665	7657	3840
666	7667	3827
667	7677	3815
668	7686	3803
669	7696	3791
670	7706	3778
671	7718	3767
672	7728	3754
673	7738	3742
674	7750	3731
675	7761	3720
676	7771	3707
677	7781	3695
678	7791	3683
679	7802	3671
680	7814	3660
681	7823	3648
682	7833	3635
683	7845	3624
684	7855	3612
685	7865	3600
686	7877	3588
687	7887	3577
688	7897	3564
689	7909	3553
690	7921	3542
691	7931	3530
692	7941	3518
693	7951	3506
